product,price,link,years,kilometraje,_created,id,location_city,location_state
Suzuki Jimny Ga Mt 1.5 2023,102000000,https://carro.mercadolibre.com.co/MCO-2431429758-suzuki-jimny-ga-mt-15-2023-_JM#position=38&search_layout=grid&type=item&tracking_id=dea3ae3a-04aa-442c-9683-215eb2de9ed9,2023,21000,2024-06-07,2431429758,Suba,Bogotá D.C.
Mercedes-benz Clase C 2.0 Cgi Exclusive,75000000,https://carro.mercadolibre.com.co/MCO-1434630731-mercedes-benz-c-200-cgi-exclusive-at-20-2015-_JM#position=39&search_layout=grid&type=item&tracking_id=dea3ae3a-04aa-442c-9683-215eb2de9ed9,2015,82000,2024-06-07,1434630731,Usaquén,Bogotá D.C.
Mazda Cx-30 2.0 Prime,94500000,https://carro.mercadolibre.com.co/MCO-2431365618-mazda-cx30-prime-at-20-4x2-2022-_JM#position=40&search_layout=grid&type=item&tracking_id=dea3ae3a-04aa-442c-9683-215eb2de9ed9,2022,20950,2024-06-07,2431365618,Usaquén,Bogotá D.C.
Mazda 3 2.0 Sport Grand Touring,66900000,https://carro.mercadolibre.com.co/MCO-1434628139-mazda-3-sport-grand-touring-at-20-2017-_JM#position=41&search_layout=grid&type=item&tracking_id=dea3ae3a-04aa-442c-9683-215eb2de9ed9,2017,43000,2024-06-07,1434628139,Suba,Bogotá D.C.
Audi Q3 Tfsi Ambition At 1.4,125000000,https://carro.mercadolibre.com.co/MCO-2431429158-audi-q3-tfsi-ambition-at-14-2020-_JM#position=42&search_layout=grid&type=item&tracking_id=dea3ae3a-04aa-442c-9683-215eb2de9ed9,2020,31000,2024-06-07,2431429158,Chapinero,Bogotá D.C.
Mercedes-benz Clase E E 250 2.0 Cabriolet 208 Hp,90000000,https://carro.mercadolibre.com.co/MCO-2431441644-mercedes-benz-e-250-cabriolet-at-20-2015-_JM#position=43&search_layout=grid&type=item&tracking_id=dea3ae3a-04aa-442c-9683-215eb2de9ed9,2015,64500,2024-06-07,2431441644,Chapinero,Bogotá D.C.
Kia Opirus 3.8 Gsl,35000000,https://carro.mercadolibre.com.co/MCO-2431454024-kia-opirus-gl-_JM#position=44&search_layout=grid&type=item&tracking_id=dea3ae3a-04aa-442c-9683-215eb2de9ed9,2008,89923,2024-06-07,2431454024,Chapinero,Bogotá D.C.
Toyota Prado V8 Automatica 4x4,280000000,https://carro.mercadolibre.com.co/MCO-1434625493-toyota-prado-_JM#position=45&search_layout=grid&type=item&tracking_id=dea3ae3a-04aa-442c-9683-215eb2de9ed9,2013,88288,2024-06-07,1434625493,Kennedy,Bogotá D.C.
Mazda 6 2.0 Lfnm4,20600000,https://carro.mercadolibre.com.co/MCO-2431426536-mazda-6-lfnm4-_JM#position=46&search_layout=grid&type=item&tracking_id=dea3ae3a-04aa-442c-9683-215eb2de9ed9,2006,130000,2024-06-07,2431426536,Usaquén,Bogotá D.C.
Chevrolet Aveo Emotion 1.6l,27500000,https://carro.mercadolibre.com.co/MCO-2431523192-chevrolet-aveo-emotion-_JM#position=47&search_layout=grid&type=item&tracking_id=dea3ae3a-04aa-442c-9683-215eb2de9ed9,2012,101500,2024-06-07,2431523192,Suba,Bogotá D.C.
